interaction_id,fleet_id,interaction_date,interaction_type,topic,recommendation_made,follow_up_required,business_owner
INT-00310,FLT-0070,2025-07-10,QBR,maintenance controls,maintenance certification,True,Claims
INT-00311,FLT-0041,2025-08-09,ad_hoc_analysis,autonomy operations,monitor,True,Claims
INT-00312,FLT-0037,2025-08-12,claims_review,maintenance controls,maintenance certification,True,Underwriting
INT-00313,FLT-0032,2025-02-23,renewal_review,renewal pricing,maintenance certification,False,Account Management
INT-00314,FLT-0016,2025-12-15,QBR,route risk,monitor,False,Risk Engineering
INT-00315,FLT-0047,2025-12-07,claims_review,autonomy operations,safety improvement,False,Claims
INT-00316,FLT-0007,2025-12-21,ad_hoc_analysis,route risk,no action,False,Underwriting
INT-00317,FLT-0035,2025-09-19,claims_review,route risk,monitor,True,Risk Engineering
INT-00318,FLT-0023,2025-12-28,QBR,claims trend,safety improvement,True,Pricing
INT-00319,FLT-0027,2025-08-22,renewal_review,safety program,monitor,False,Account Management
INT-00320,FLT-0013,2025-03-13,QBR,safety program,no action,True,Pricing
INT-00321,FLT-0019,2025-02-02,ad_hoc_analysis,renewal pricing,pricing review,True,Account Management
INT-00322,FLT-0027,2025-07-06,QBR,autonomy operations,no action,False,Underwriting
INT-00323,FLT-0020,2025-05-10,underwriting_review,safety program,no action,False,Underwriting
INT-00324,FLT-0026,2025-12-17,QBR,route risk,monitor,False,Account Management
INT-00325,FLT-0047,2025-01-22,claims_review,claims trend,monitor,False,Claims
INT-00326,FLT-0052,2025-06-01,claims_review,autonomy operations,monitor,True,Risk Engineering
INT-00327,FLT-0015,2025-10-02,ad_hoc_analysis,renewal pricing,pricing review,False,Pricing
INT-00328,FLT-0007,2025-12-27,underwriting_review,claims trend,safety improvement,True,Account Management
INT-00329,FLT-0061,2025-11-17,underwriting_review,route risk,maintenance certification,True,Claims
INT-00330,FLT-0005,2025-03-04,claims_review,claims trend,pricing review,False,Underwriting
INT-00331,FLT-0039,2025-02-23,ad_hoc_analysis,safety program,no action,False,Claims
INT-00332,FLT-0059,2025-08-12,renewal_review,route risk,safety improvement,True,Claims
INT-00333,FLT-0078,2025-10-03,claims_review,renewal pricing,monitor,True,Claims
INT-00334,FLT-0052,2025-10-22,renewal_review,safety program,pricing review,False,Underwriting
INT-00335,FLT-0067,2025-04-11,ad_hoc_analysis,claims trend,monitor,True,Pricing
INT-00336,FLT-0065,2025-11-22,renewal_review,maintenance controls,maintenance certification,True,Underwriting
INT-00337,FLT-0066,2025-08-26,renewal_review,maintenance controls,monitor,True,Pricing
INT-00338,FLT-0013,2025-04-28,ad_hoc_analysis,autonomy operations,pricing review,False,Pricing
INT-00339,FLT-0026,2025-12-04,ad_hoc_analysis,safety program,monitor,False,Underwriting
INT-00340,FLT-0009,2025-05-22,claims_review,maintenance controls,safety improvement,False,Underwriting
INT-00341,FLT-0022,2025-11-07,claims_review,safety program,pricing review,False,Pricing
INT-00342,FLT-0069,2025-10-16,underwriting_review,safety program,no action,True,Claims
INT-00343,FLT-0028,2025-02-26,underwriting_review,safety program,pricing review,False,Risk Engineering
INT-00344,FLT-0078,2025-10-22,QBR,route risk,safety improvement,True,Risk Engineering
INT-00345,FLT-0075,2025-02-02,QBR,autonomy operations,no action,False,Underwriting
INT-00346,FLT-0042,2025-04-24,claims_review,autonomy operations,no action,False,Risk Engineering
INT-00347,FLT-0075,2025-12-28,QBR,renewal pricing,safety improvement,False,Underwriting
INT-00348,FLT-0018,2025-09-23,claims_review,maintenance controls,no action,True,Underwriting
INT-00349,FLT-0065,2025-09-08,renewal_review,renewal pricing,maintenance certification,False,Account Management
INT-00350,FLT-0076,2025-05-22,claims_review,claims trend,no action,False,Claims
INT-00351,FLT-0030,2025-04-07,renewal_review,autonomy operations,pricing review,False,Risk Engineering
INT-00352,FLT-0062,2025-06-27,renewal_review,route risk,monitor,False,Pricing
INT-00353,FLT-0031,2025-05-13,renewal_review,route risk,pricing review,False,Pricing
INT-00354,FLT-0008,2025-02-13,claims_review,safety program,maintenance certification,False,Pricing
INT-00355,FLT-0041,2025-11-22,QBR,claims trend,safety improvement,False,Underwriting
INT-00356,FLT-0010,2025-08-02,ad_hoc_analysis,safety program,safety improvement,True,Underwriting
INT-00357,FLT-0023,2025-06-06,ad_hoc_analysis,claims trend,no action,True,Pricing
INT-00358,FLT-0063,2025-06-02,renewal_review,route risk,maintenance certification,True,Account Management
INT-00359,FLT-0026,2025-10-31,claims_review,safety program,safety improvement,True,Underwriting
INT-00360,FLT-0016,2025-07-02,underwriting_review,claims trend,pricing review,False,Claims
INT-00361,FLT-0028,2025-10-06,claims_review,route risk,monitor,False,Account Management
INT-00362,FLT-0071,2025-10-03,QBR,claims trend,safety improvement,False,Account Management
INT-00363,FLT-0006,2025-06-09,underwriting_review,safety program,pricing review,True,Risk Engineering
INT-00364,FLT-0038,2025-06-02,QBR,claims trend,monitor,True,Account Management
INT-00365,FLT-0079,2025-07-24,underwriting_review,route risk,pricing review,False,Risk Engineering
INT-00366,FLT-0020,2025-11-04,QBR,claims trend,safety improvement,False,Account Management
INT-00367,FLT-0040,2025-02-07,underwriting_review,safety program,pricing review,True,Risk Engineering
INT-00368,FLT-0067,2025-02-15,underwriting_review,safety program,no action,False,Claims
INT-00369,FLT-0017,2025-02-07,underwriting_review,autonomy operations,maintenance certification,False,Risk Engineering
INT-00370,FLT-0020,2025-09-09,QBR,route risk,monitor,True,Account Management
INT-00371,FLT-0030,2025-09-20,claims_review,route risk,no action,False,Claims
INT-00372,FLT-0011,2025-09-18,renewal_review,claims trend,maintenance certification,True,Claims
INT-00373,FLT-0007,2025-02-13,renewal_review,safety program,pricing review,False,Pricing
INT-00374,FLT-0020,2025-10-07,claims_review,safety program,pricing review,True,Underwriting
INT-00375,FLT-0009,2025-01-05,QBR,claims trend,monitor,False,Claims
INT-00376,FLT-0064,2025-01-23,underwriting_review,claims trend,pricing review,True,Underwriting
INT-00377,FLT-0031,2025-03-18,ad_hoc_analysis,claims trend,safety improvement,False,Risk Engineering
INT-00378,FLT-0004,2025-09-09,ad_hoc_analysis,maintenance controls,maintenance certification,False,Pricing
INT-00379,FLT-0060,2025-10-03,claims_review,renewal pricing,no action,False,Risk Engineering
INT-00380,FLT-0046,2025-07-18,underwriting_review,claims trend,maintenance certification,False,Claims
INT-00381,FLT-0026,2025-09-22,underwriting_review,maintenance controls,monitor,False,Account Management
INT-00382,FLT-0009,2025-08-01,claims_review,autonomy operations,maintenance certification,True,Pricing
INT-00383,FLT-0003,2025-02-05,renewal_review,safety program,pricing review,True,Underwriting
INT-00384,FLT-0008,2025-11-02,QBR,maintenance controls,maintenance certification,True,Claims
INT-00385,FLT-0048,2025-08-21,claims_review,renewal pricing,pricing review,False,Risk Engineering
INT-00386,FLT-0071,2025-09-26,claims_review,maintenance controls,safety improvement,True,Pricing
INT-00387,FLT-0045,2025-02-24,renewal_review,claims trend,no action,True,Pricing
INT-00388,FLT-0060,2025-03-20,renewal_review,route risk,maintenance certification,False,Pricing
INT-00389,FLT-0078,2025-03-14,underwriting_review,route risk,maintenance certification,False,Account Management
INT-00390,FLT-0006,2025-09-07,QBR,renewal pricing,monitor,False,Underwriting
INT-00391,FLT-0061,2025-07-28,renewal_review,maintenance controls,no action,False,Risk Engineering
INT-00392,FLT-0012,2025-06-16,ad_hoc_analysis,maintenance controls,maintenance certification,False,Account Management
INT-00393,FLT-0028,2025-06-22,underwriting_review,claims trend,no action,False,Pricing
INT-00394,FLT-0064,2025-02-09,underwriting_review,renewal pricing,pricing review,False,Account Management
INT-00395,FLT-0037,2025-01-18,QBR,renewal pricing,safety improvement,False,Pricing
INT-00396,FLT-0057,2025-01-13,renewal_review,claims trend,safety improvement,False,Risk Engineering
INT-00397,FLT-0007,2025-03-30,ad_hoc_analysis,renewal pricing,no action,False,Account Management
INT-00398,FLT-0021,2025-03-15,claims_review,safety program,safety improvement,False,Claims
INT-00399,FLT-0041,2025-02-23,QBR,claims trend,maintenance certification,False,Claims
INT-00400,FLT-0066,2025-08-03,claims_review,safety program,safety improvement,False,Underwriting
